Rk,Season,Team,Yds,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate
64,2023,ARI,3613,17,4,13,0,0.235,330,455,-125,347,506,68.6,3613,32,33,233,11,102.9
65,2023,LVR,3610,17,8,9,0,0.471,332,331,1,376,564,66.7,3610,21,46,290,13,89.3
66,2022,SEA,3595,17,9,8,0,0.529,407,401,6,343,547,62.7,3595,23,45,296,14,87.3
67,2022,DEN,3574,17,5,12,0,0.294,287,359,-72,392,605,64.8,3574,20,36,245,15,83.1
68,2022,IND,3569,17,4,12,1,0.265,289,427,-138,365,537,68,3569,25,44,267,10,96.2
69,2022,HOU,3558,17,3,13,1,0.206,289,420,-131,336,522,64.4,3558,15,39,217,16,82.7
70,2023,NWE,3543,17,4,13,0,0.235,236,366,-130,370,575,64.3,3543,19,36,248,10,86.9
71,2023,NOR,3524,17,9,8,0,0.529,402,327,75,333,558,59.7,3524,22,34,244,18,79.7
72,2023,GNB,3515,17,9,8,0,0.529,383,350,33,342,523,65.4,3515,21,45,288,7,94.7
73,2021,SFO,3510,17,10,7,0,0.588,427,365,62,372,545,68.3,3510,25,48,364,9,97
74,2022,TAM,3461,17,8,9,0,0.471,313,358,-45,364,570,63.9,3461,29,45,331,10,92.7
75,2023,ATL,3449,17,7,10,0,0.412,321,373,-52,340,549,61.9,3449,24,42,258,8,90.3
76,2021,CLE,3439,17,8,9,0,0.471,349,371,-22,367,576,63.7,3439,29,43,273,13,89.4
77,2022,BUF,3433,16,13,3,0,0.813,455,286,169,362,570,63.5,3433,21,40,288,17,82.1
78,2022,DAL,3415,17,12,5,0,0.706,467,342,125,345,550,62.7,3415,23,54,352,16,84.7
79,2022,LAC,3406,17,10,7,0,0.588,391,384,7,310,505,61.4,3406,24,40,287,14,88
80,2022,GNB,3349,17,8,9,0,0.471,370,371,-1,314,478,65.7,3349,22,34,204,17,88.3
81,2023,BUF,3342,17,11,6,0,0.647,451,311,140,363,552,65.8,3342,18,54,334,18,81.9
82,2022,CLE,3336,17,7,10,0,0.412,361,381,-20,315,519,60.7,3336,20,34,211,11,85.2
83,2021,CAR,3266,17,5,12,0,0.294,304,404,-100,337,515,65.4,3266,26,39,293,9,95
84,2023,BAL,3263,17,13,4,0,0.765,483,280,203,384,634,60.6,3263,18,60,454,18,74.6
85,2021,CHI,3257,17,6,11,0,0.353,311,407,-96,314,477,65.8,3257,31,49,366,8,103.3
86,2022,WAS,3252,17,8,8,1,0.5,321,343,-22,308,514,59.9,3252,26,43,279,9,90.2
87,2022,NYJ,3220,17,7,10,0,0.412,296,316,-20,347,556,62.4,3220,15,45,306,12,80.5
88,2023,DAL,3185,17,12,5,0,0.706,509,315,194,308,509,60.5,3185,21,46,296,17,80.8
89,2021,NWE,3181,17,10,7,0,0.588,462,303,159,319,538,59.3,3181,21,36,256,23,73.3
90,2022,NOR,3134,17,7,10,0,0.412,330,345,-15,322,536,60.1,3134,17,48,279,7,83.8
91,2022,PHI,3057,17,14,3,0,0.824,477,344,133,350,556,62.9,3057,22,70,491,17,81.6
92,2023,KAN,3001,17,11,6,0,0.647,371,294,77,340,556,61.2,3001,19,57,351,8,83.6
93,2023,CAR,2916,17,2,15,0,0.118,236,416,-180,309,481,64.2,2916,19,27,193,8,88.8
94,2023,NYJ,2861,17,7,10,0,0.412,268,355,-87,313,522,60,2861,19,48,321,17,76
95,2023,CLE,2800,17,11,6,0,0.647,396,362,34,307,535,57.4,2800,23,49,349,18,74.7
96,2021,BUF,2771,17,11,6,0,0.647,483,289,194,297,530,56,2771,12,42,276,19,65.3
,,,,,,,,,,,,,,,,,,,,
